group,Treatment,Site,combined,Year,Cashcrop,soilpH,soil-waterpH,BufferpH,P(kg/ha),K(kg/ha),Ca(kg/ha),Mg(kg/ha),Zn(kg/ha)
4KS_101,Hemp Fiber,KS,Hemp FiberKS,4,Fiber,5.18,6.05,6.43,513,201,5453,446,4
4KS_102,Hemp Grain,KS,Hemp GrainKS,4,Grain,5.55,6.39,6.66,489,216,5689,462,3
4KS_103,Hemp Grain,KS,HempGrainKS,4,Corn,5.42,6.27,6.61,436,181,6038,469,3
4KS_104,Conventional,KS,ConventionalKS,4,Corn,5.12,6,6.47,321,160,4655,403,2
4KS_105,Conventional,KS,ConventionalKS,4,Soybean,4.67,5.59,6.26,275,157,3896,384,2
4KS_106,Hemp Fiber,KS,Hemp FiberKS,4,Soybean,5.08,5.96,6.46,278,160,4756,405,2
4KS_201,Conventional,KS,ConventionalKS,4,Soybean,5.16,6.04,6.49,420,205,5436,446,3
4KS_202,Hemp Fiber,KS,Hemp FiberKS,4,Fiber,5.08,5.96,6.46,445,212,5223,472,3
4KS_203,Hemp Fiber,KS,Hemp FiberKS,4,Soybean,5.34,6.2,6.54,462,172,5359,431,2
4KS_204,Hemp Grain,KS,Hemp GrainKS,4,Grain,5.03,5.92,6.47,429,189,4461,410,2
4KS_205,Conventional,KS,ConventionalKS,4,Corn,4.73,5.64,6.34,429,166,4215,389,3
4KS_206,Hemp Grain,KS,Hemp GrainKS,4,Corn,5.12,6,6.45,504,189,5532,484,2
4KS_301,Hemp Grain,KS,Hemp GrainKS,4,Corn,4.99,5.88,6.49,476,230,4041,293,5
4KS_302,Hemp Fiber,KS,Hemp FiberKS,4,Fiber,5.23,6.1,6.65,447,188,4473,440,3
4KS_303,Conventional,KS,ConventionalKS,4,Corn,5.15,6.03,6.54,493,165,4878,395,2
4KS_304,Conventional,KS,ConventionalKS,4,Soybean,5.1,5.98,6.56,526,182,4940,480,3
4KS_305,Hemp Grain,KS,Hemp GrainKS,4,Grain,4.83,5.74,6.41,452,196,5068,522,2
4KS_306,Hemp Fiber,KS,Hemp FiberKS,4,Soybean,4.9,5.8,6.41,436,162,5271,425,2
4KS_401,Hemp Grain,KS,Hemp GrainKS,4,Grain,5.24,6.11,6.63,410,203,4260,399,4
4KS_402,Conventional,KS,ConventionalKS,4,Soybean,5.05,5.94,6.58,427,161,3815,359,3
4KS_403,Conventional,KS,ConventionalKS,4,Corn,5.17,6.04,6.62,519,185,4484,354,2
4KS_404,Hemp Grain,KS,Hemp GrainKS,4,Corn,5.31,6.17,6.51,567,214,5549,498,2
4KS_405,Hemp Fiber,KS,Hemp FiberKS,4,Fiber,5.27,6.14,6.52,518,205,5425,507,3
4KS_406,Hemp Fiber,KS,Hemp FiberKS,4,Soybean,5.4,6.25,6.62,474,191,5308,463,2
4KS_501,Hemp Fiber,KS,Hemp FiberKS,4,Soybean,5.25,6.12,6.56,436,177,4220,360,2
4KS_502,Conventional,KS,ConventionalKS,4,Corn,5.07,5.95,6.42,537,208,5184,451,3
4KS_503,Hemp Grain,KS,Hemp GrainKS,4,Grain,5.28,6.14,6.49,543,274,6528,552,3
4KS_504,Conventional,KS,ConventionalKS,4,Soybean,5.46,6.31,6.59,498,191,5943,473,3
4KS_505,Hemp Grain,KS,Hemp GrainKS,4,Corn,5.51,6.35,6.65,483,204,5288,417,2
4KS_506,Hemp Fiber,KS,Hemp FiberKS,4,Fiber,5.37,6.23,6.59,517,216,5168,464,3
4UK_101,Hemp Fiber,UK,Hemp FiberUK,4,Soybean,5.94,6.75,6.82,457,268,5901,517,4
4UK_102,Hemp Grain,UK,Hemp GrainUK,4,Corn,5.89,6.7,6.8,487,311,5860,526,4
4UK_103,Conventional,UK,ConventionalUK,4,Soybean,6.09,6.88,6.94,530,335,6560,568,5
4UK_104,Hemp Fiber,UK,Hemp FiberUK,4,Fiber,5.87,6.68,6.82,571,378,5730,526,4
4UK_105,Hemp Grain,UK,Hemp GrainUK,4,Grain,6.3,7.07,7.04,521,534,6527,545,6
4UK_106,Conventional,UK,ConventionalUK,4,Corn,5.87,6.68,6.86,546,323,5335,503,4
4UK_201,Hemp Grain,UK,Hemp GrainUK,4,Corn,6.08,6.87,6.95,541,329,6275,526,18
4UK_202,Conventional,UK,ConventionalUK,4,Corn,5.94,6.75,6.88,554,367,5418,524,6
4UK_203,Hemp Grain,UK,Hemp GrainUK,4,Grain,6.2,6.98,6.99,537,417,6148,517,17
4UK_204,Conventional,UK,ConventionalUK,4,Soybean,5.9,6.71,6.86,557,335,5453,503,28
4UK_205,Hemp Fiber,UK,Hemp FiberUK,4,Soybean,6.08,6.87,6.95,519,382,6333,567,7
4UK_206,Hemp Fiber,UK,Hemp FiberUK,4,Fiber,6.05,6.85,6.95,463,284,5551,534,10
4UK_301,Conventional,UK,ConventionalUK,4,Corn,6.13,6.92,6.95,498,287,6115,537,4
4UK_302,Hemp Grain,UK,Hemp GrainUK,4,Grain,5.87,6.68,6.87,474,407,5752,521,9
4UK_303,Hemp Fiber,UK,Hemp FiberUK,4,Soybean,5.73,6.55,6.79,436,312,5272,473,4
4UK_304,Hemp Grain,UK,Hemp GrainUK,4,Corn,5.94,6.75,6.89,532,385,5603,519,4
4UK_305,Conventional,UK,ConventionalUK,4,Soybean,5.99,6.79,6.91,489,371,5996,535,9
4UK_306,Hemp Fiber,UK,Hemp FiberUK,4,Fiber,5.84,6.65,6.82,485,273,5558,492,4
4UK_401,Conventional,UK,ConventionalUK,4,Soybean,5.63,6.46,6.75,497,391,5225,490,4
4UK_402,Hemp Grain,UK,Hemp GrainUK,4,Corn,5.79,6.61,6.8,473,510,5391,502,9
4UK_403,Hemp Fiber,UK,Hemp FiberUK,4,Fiber,5.82,6.64,6.84,450,280,5337,473,5
